,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
24760,7.686270563,2.375584037,14.92666421,88.01495186,0.823811088,3.638211348,0.835406907,0.662433941,1.133145736,0.298015448,5.949313462,30.90501409,0.005640347,6.732518655,-0.001702036,0.023300354,-0.004688606,-0.002689868,-6.01E-05,-3.64E-06,-0.000509256,-1.50E-06,-3.11E-05,-7.20E-06,0.027930541,3.95E-37,0.168168281,-1.298489397,0.000256953,0.001326732,-0.00010849,6.44E-05,0.000216546,0.001832804,0.860607923,1.024725802,0.885634437,0.865931747,0.611437883,0.756463795,0.769129378,0,0.559324252,0,0.867476291,276.0073092,11235003
25419,9.986463259,4.430104356,15.16295837,102.9800639,2.182254551,2.897118556,1.218839026,1.364733676,1.881045709,0.672784685,9.275586328,33.62414254,0.002467723,3.096672011,0.001758252,0.029244227,-0.006310763,-0.001776201,-6.70E-05,-1.51E-05,-0.000585185,-2.77E-06,-3.05E-05,-7.22E-06,0.014792441,3.15E-35,0.024940201,-0.155491013,0.000193321,0.001181683,-6.18E-06,-1.67E-06,1.92E-05,0.001001851,0.94374262,0.986064567,1.086528705,1.014385122,0.461092821,0.9513275,0.700071072,0,0.987508345,0,1.10670985,277.2129035,11497944
27655,7.276861362,4.315996008,18.09526191,135.4955264,0.786060405,2.009775484,0.629155793,0.329112326,0.403431585,0.436679738,6.760142115,35.34045321,0.000700036,4.65441642,0.00051114,0.005635684,-0.002483008,-0.001425128,-5.46E-05,-2.04E-05,-0.000544892,-1.32E-06,-1.99E-05,-6.91E-06,0.006947263,384485.4693,5.14E-18,-1.381040089,0.000220075,0.001296668,-2.85E-05,0.00016421,0.000202849,0.00115214,1.135352217,1.038649471,0.985915776,1.305871392,1.555907307,1.115707568,1.2434336,0,1.374323044,0,0.924297638,279.0712981,12390108
28347,4.094930342,3.385098866,13.77818719,67.71822352,1.204334365,3.529556066,0.965773369,1.103778824,0.598327372,0.541664544,7.104149293,29.28177293,0.006538706,2.144807143,0.003418668,0.006137165,-0.006696026,-0.004772131,-6.72E-05,-1.45E-05,-0.000503756,-1.50E-06,-4.44E-05,-7.51E-06,1.32E-06,1.76E-82,1.50E-07,-2744.083783,0.000273709,0.001314252,-7.83E-05,0.000160723,-0.000297319,0.001850175,0.952089109,0.929493465,0.642169766,1.221385071,0.882545642,0.991481969,1.11854529,0,1.262051964,0,0.948637661,276.4560559,12666216
28694,23.28359136,2.791850172,8.965734424,133.205438,1.139736266,2.851417958,0.393896672,1.035477994,1.709905907,0.357184275,7.884689916,35.03360504,0.002890331,1.831120913,0.000553173,0.019231975,-0.002850072,-0.001199428,-7.51E-05,-9.64E-06,-0.00051064,-3.74E-06,-4.14E-05,-8.75E-06,0.033972566,2.895422337,4.81E-18,-1.266338089,0.000308705,0.001674487,2.64E-06,0.000107028,0.000202815,0.001038333,0.866589455,0.907292604,1.081028333,0.654067507,0.757505293,0.900511344,1.46995697,0,0.719042045,0,1.007079731,278.8338848,12804669
30594,6.703840298,2.865300258,19.84427914,95.5205044,1.166550401,2.307778063,0.476062998,0.920662874,0.652030528,0.2039772,9.141045537,32.93533952,0.003324916,3.398023865,0.001911824,0.000457674,-0.003417884,-0.00140675,-6.55E-05,-1.16E-05,-0.000563248,-1.78E-06,-4.06E-05,-7.21E-06,0.008422696,4.687571493,1.83E-19,-1.001703787,0.000253985,0.000966475,-9.02E-05,0.00013918,-0.000169207,0.001416555,0.886556693,0.971013176,1.191691921,1.542931212,0.68070831,0.974201948,0.907543525,0,0.523872977,0,1.096923488,277.0208642,13562769
31870,3.875120967,5.357814176,16.55346688,50.41381827,0.961466215,3.118880398,1.1105663,1.351300674,0.594875002,0.535176166,8.683192632,38.58462259,-0.003512552,2.992864962,0.003266797,0.008424898,-0.005125186,-0.00170658,-5.81E-05,-3.40E-06,-0.000506938,-1.45E-06,-3.63E-05,-7.05E-06,6.41E-07,4.58E-05,2.52E-07,-3183.431752,0.000224201,0.001654156,-6.66E-06,1.10E-05,0.000334045,0.001729347,0.918116157,0.965158555,1.073930253,1.729020385,0.906608778,0.990666001,1.21532136,0,-0.067502296,0,1.064103232,278.0723691,14071893
32559,14.57546066,2.095709602,17.03812971,31.71794718,1.00049589,3.909945867,0.901798934,1.130352725,1.357754704,0.393458057,7.99170364,37.71564992,-0.002853123,3.245448189,0.002972474,0.007089268,-0.0049066,-0.005459429,-4.84E-05,-5.96E-05,-0.000552022,-2.77E-06,-3.94E-05,-8.47E-06,0.008097075,580.0480724,4.47E-12,-0.728235204,0.000258731,0.001986343,-1.20E-05,5.28E-05,5.80E-05,0.000953232,0.911690826,1.182571867,0.87123557,0.774530112,1.443826821,0.929185117,1.60413939,0,1.682463563,0,1.014668014,278.4293837,14346804
33110,12.74322841,2.908268632,11.81886675,126.8757159,1.58216592,2.168210463,0.515564204,0.770784813,1.380361551,0.517988705,7.999331548,36.10008623,0.001441481,1.601977265,0.003015717,0.019743814,-0.004135046,-0.000853846,-7.87E-05,-2.59E-06,-0.000580696,-3.50E-06,-5.03E-05,-5.95E-06,0.023070243,0.003507716,1.18E-15,-0.867342621,0.000245105,0.00135456,-0.000104488,4.13E-05,6.71E-05,0.000119744,1.199238283,1.03757804,1.141955616,0.080637307,0.63592466,0.823349476,1.194719733,0,1.835917461,0,1.014951822,274.4545939,14566653
33401,3.937196435,5.165250985,33.81391045,50.49363248,0.837601385,1.248062962,1.421824848,1.25798527,0.812647836,0.445574241,6.539803008,31.75409176,0.002230778,1.464710824,0.004039204,0.027964676,-0.00311123,-0.003010067,-6.30E-05,-3.76E-05,-0.000559883,-3.03E-06,-5.47E-05,-8.94E-06,1.43E-06,0.113367269,1.47E-07,-2.731964281,0.00019128,0.000928993,-8.35E-05,4.78E-05,0.000134872,0.002259577,1.033088908,0.845270301,1.01485689,1.084049374,0.733492796,1.033412957,1.02292918,0,0.974850742,0,0.90849715,282.093875,14682762
